*0138*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0138;145139690;1;0;22;1#2;30;
0138;145139691;1;0;104;1#2;30;
0138;145139692;1;0;130;1#2;30;
0138;145139693;1;0;57;1#2;30;
0138;145139694;1;0;50;1#2;30;
0138;145139695;1;0;61;1#2;30;
0138;145139696;1;0;13;1#2;30;
0138;145139697;1;0;96;1#2;30;
0138;145139698;1;0;122;1#2;30;
0138;145139699;1;0;13;1#2;30;
0138;145139701;1;0;33;1#2;30;
0138;145139702;1;0;35;1#2;30;
0138;159596463;1;0;3;1#2;30;
0138;159596464;1;0;61;1#2;30;
0138;159596465;1;0;10;1#2;30;
0138;159596466;1;0;5;1#2;30;
0138;159596467;1;0;47;1#2;30;
0138;145139705;1;0;37;1#2;30;
0138;145139706;1;0;31;1#2;30;
0138;145139707;1;0;32;1#2;30;
0138;145139708;1;0;59;1#2;30;
0138;159596468;1;0;11;1#2;30;
0138;159596469;1;0;119;1#2;30;
0138;145139710;1;0;113;1#2;30;
0138;145139711;1;0;296;1#2;30;
0138;145139712;1;0;15;1#2;30;
0138;145139713;1;0;66;1#2;30;
0138;145139714;1;0;50;1#2;30;
0138;145139716;1;0;131;1#2;30;
0138;276794199;1;0;88;1#2;30;
0138;276794200;1;0;835;1#2;30;
0138;145139718;1;0;111;1#2;30;
0138;145139719;1;0;226;1#2;30;
0138;145139721;1;0;38;1#2;30;
0138;145139722;1;0;67;1#2;30;
0138;145139723;1;0;96;1#2;30;
0138;145139724;1;0;318;1#2;30;
0138;145139725;1;0;143;1#2;30;
0138;145139726;1;0;395;1#2;30;
0138;145139727;1;0;209;1#2;30;
0138;145139728;1;0;358;1#2;30;
0138;145139729;1;0;71;1#2;30;
0138;145139730;1;0;136;1#2;30;
0138;276794201;1;0;27;1#2;30;
0138;276794202;1;0;389;1#2;30;
0138;145139732;1;0;12;1#2;30;
0138;145139733;1;0;5;1#2;30;
0138;145139734;1;0;144;1#2;30;
0138;145139735;1;0;84;1#2;30;
0138;145139736;1;0;56;1#2;30;
0138;159596470;1;0;11;1#2;30;
0138;159596471;1;0;123;1#2;30;
0138;145139739;1;0;202;1#2;30;
0138;159596472;1;0;7;1#2;30;
0138;159596473;1;0;99;1#2;30;
0138;145139741;1;0;4;1#2;30;
